UID,Month,Longitude,Latitude,Crime_type
15799,2020-01,-0.128043,51.517205,Theft from the person
15800,2020-01,-0.126114,51.523469,Theft from the person
15801,2020-01,-0.125389,51.519716,Theft from the person
15802,2020-01,-0.128043,51.517205,Theft from the person
15803,2020-01,-0.12812,51.516738,Theft from the person
15804,2020-01,-0.130065,51.517795,Theft from the person
15805,2020-01,-0.129322,51.521515,Theft from the person
15806,2020-01,-0.125389,51.519716,Theft from the person
15807,2020-01,-0.129927,51.523296,Theft from the person
15808,2020-01,-0.125389,51.519716,Theft from the person
15809,2020-01,-0.129322,51.521515,Theft from the person
15810,2020-01,-0.130065,51.517795,Theft from the person
15811,2020-01,-0.12812,51.516738,Theft from the person
15812,2020-01,-0.129686,51.516512,Theft from the person
15813,2020-01,-0.125389,51.519716,Theft from the person
15814,2020-01,-0.129322,51.521515,Theft from the person
15815,2020-01,-0.122084,51.523305,Theft from the person
15816,2020-01,-0.125389,51.519716,Theft from the person
15817,2020-01,-0.125389,51.519716,Theft from the person
15818,2020-01,-0.129682,51.516952,Theft from the person
15819,2020-01,-0.122084,51.523305,Theft from the person
15820,2020-01,-0.125389,51.519716,Theft from the person
15821,2020-01,-0.125389,51.519716,Theft from the person
15822,2020-01,-0.12472,51.523357,Theft from the person
15823,2020-01,-0.12472,51.523357,Theft from the person
15824,2020-01,-0.128965,51.519333,Theft from the person
15825,2020-01,-0.129472,51.523837,Theft from the person
15826,2020-01,-0.12812,51.516738,Theft from the person
15827,2020-01,-0.129927,51.523296,Theft from the person
15828,2020-01,-0.125261,51.521063,Theft from the person
15829,2020-01,-0.129927,51.523296,Theft from the person
15830,2020-01,-0.125389,51.519716,Theft from the person
15831,2020-01,-0.12248,51.519985,Theft from the person
15832,2020-01,-0.12472,51.523357,Theft from the person
15833,2020-01,-0.131232,51.518182,Theft from the person
15834,2020-01,-0.12812,51.516738,Theft from the person
